,Date,GDP,State
0,1997-01-01,10614.9,AZMANRGSP
1,1998-01-01,12374.9,AZMANRGSP
2,1999-01-01,14744.3,AZMANRGSP
3,2000-01-01,15628.8,AZMANRGSP
4,2001-01-01,16400.0,AZMANRGSP
5,2002-01-01,17082.0,AZMANRGSP
6,2003-01-01,21124.9,AZMANRGSP
7,2004-01-01,18773.7,AZMANRGSP
8,2005-01-01,18406.4,AZMANRGSP
9,2006-01-01,20946.3,AZMANRGSP
10,2007-01-01,23683.2,AZMANRGSP
11,2008-01-01,23563.1,AZMANRGSP
12,2009-01-01,20349.6,AZMANRGSP
13,2010-01-01,22321.4,AZMANRGSP
14,2011-01-01,23561.2,AZMANRGSP
15,2012-01-01,24505.2,AZMANRGSP
16,2013-01-01,22112.4,AZMANRGSP
17,2014-01-01,23810.7,AZMANRGSP
18,2015-01-01,25185.7,AZMANRGSP
19,2016-01-01,25919.7,AZMANRGSP
20,2017-01-01,28333.1,AZMANRGSP
21,2018-01-01,31005.2,AZMANRGSP
22,2019-01-01,32936.0,AZMANRGSP
23,2020-01-01,32992.2,AZMANRGSP
24,2021-01-01,35890.4,AZMANRGSP
25,2022-01-01,35159.0,AZMANRGSP
0,1997-01-01,34743.6,TNMANRGSP
1,1998-01-01,34923.4,TNMANRGSP
2,1999-01-01,36213.5,TNMANRGSP
3,2000-01-01,35792.4,TNMANRGSP
4,2001-01-01,35500.8,TNMANRGSP
5,2002-01-01,36701.8,TNMANRGSP
6,2003-01-01,39289.8,TNMANRGSP
7,2004-01-01,44871.0,TNMANRGSP
8,2005-01-01,44653.0,TNMANRGSP
9,2006-01-01,46415.8,TNMANRGSP
10,2007-01-01,44552.7,TNMANRGSP
11,2008-01-01,44581.0,TNMANRGSP
12,2009-01-01,39394.1,TNMANRGSP
13,2010-01-01,39587.3,TNMANRGSP
14,2011-01-01,41323.5,TNMANRGSP
15,2012-01-01,43617.8,TNMANRGSP
16,2013-01-01,45548.1,TNMANRGSP
17,2014-01-01,45501.8,TNMANRGSP
18,2015-01-01,46712.5,TNMANRGSP
19,2016-01-01,48078.1,TNMANRGSP
20,2017-01-01,51908.9,TNMANRGSP
21,2018-01-01,49973.6,TNMANRGSP
22,2019-01-01,50932.6,TNMANRGSP
23,2020-01-01,49628.1,TNMANRGSP
24,2021-01-01,55599.4,TNMANRGSP
25,2022-01-01,58421.9,TNMANRGSP
0,1997-01-01,10838.0,COMANRGSP
1,1998-01-01,11576.4,COMANRGSP
2,1999-01-01,12117.9,COMANRGSP
3,2000-01-01,14162.2,COMANRGSP
4,2001-01-01,13543.8,COMANRGSP
5,2002-01-01,14134.6,COMANRGSP
6,2003-01-01,14386.2,COMANRGSP
7,2004-01-01,16122.7,COMANRGSP
8,2005-01-01,17117.5,COMANRGSP
9,2006-01-01,18809.4,COMANRGSP
10,2007-01-01,20360.9,COMANRGSP
11,2008-01-01,20741.6,COMANRGSP
12,2009-01-01,20624.3,COMANRGSP
13,2010-01-01,21154.4,COMANRGSP
14,2011-01-01,21247.7,COMANRGSP
15,2012-01-01,20868.7,COMANRGSP
16,2013-01-01,21244.1,COMANRGSP
17,2014-01-01,22144.7,COMANRGSP
18,2015-01-01,22592.2,COMANRGSP
19,2016-01-01,22316.9,COMANRGSP
20,2017-01-01,22190.9,COMANRGSP
21,2018-01-01,23312.5,COMANRGSP
22,2019-01-01,24492.7,COMANRGSP
23,2020-01-01,24724.9,COMANRGSP
24,2021-01-01,26616.1,COMANRGSP
25,2022-01-01,25918.5,COMANRGSP
0,1997-01-01,43486.1,WIMANRGSP
1,1998-01-01,44781.6,WIMANRGSP
2,1999-01-01,46259.3,WIMANRGSP
3,2000-01-01,48108.2,WIMANRGSP
4,2001-01-01,46382.2,WIMANRGSP
5,2002-01-01,46537.1,WIMANRGSP
6,2003-01-01,48186.4,WIMANRGSP
7,2004-01-01,50519.7,WIMANRGSP
8,2005-01-01,51638.4,WIMANRGSP
9,2006-01-01,55200.0,WIMANRGSP
10,2007-01-01,54913.5,WIMANRGSP
11,2008-01-01,51131.1,WIMANRGSP
12,2009-01-01,45501.0,WIMANRGSP
13,2010-01-01,49795.8,WIMANRGSP
14,2011-01-01,52274.9,WIMANRGSP
15,2012-01-01,54123.2,WIMANRGSP
16,2013-01-01,54834.3,WIMANRGSP
17,2014-01-01,54853.0,WIMANRGSP
18,2015-01-01,54495.5,WIMANRGSP
19,2016-01-01,54019.8,WIMANRGSP
20,2017-01-01,52858.5,WIMANRGSP
21,2018-01-01,53926.2,WIMANRGSP
22,2019-01-01,56157.5,WIMANRGSP
23,2020-01-01,53025.7,WIMANRGSP
24,2021-01-01,57945.8,WIMANRGSP
25,2022-01-01,56691.1,WIMANRGSP
0,1997-01-01,4121.3,RIMANRGSP
1,1998-01-01,4190.5,RIMANRGSP
2,1999-01-01,4372.5,RIMANRGSP
3,2000-01-01,4594.8,RIMANRGSP
4,2001-01-01,4576.1,RIMANRGSP
5,2002-01-01,4864.8,RIMANRGSP
6,2003-01-01,4488.4,RIMANRGSP
7,2004-01-01,5004.9,RIMANRGSP
8,2005-01-01,4525.8,RIMANRGSP
9,2006-01-01,5123.1,RIMANRGSP
10,2007-01-01,4496.4,RIMANRGSP
11,2008-01-01,4495.8,RIMANRGSP
12,2009-01-01,3982.8,RIMANRGSP
13,2010-01-01,4183.4,RIMANRGSP
14,2011-01-01,4085.5,RIMANRGSP
15,2012-01-01,4024.3,RIMANRGSP
16,2013-01-01,4393.1,RIMANRGSP
17,2014-01-01,4235.5,RIMANRGSP
18,2015-01-01,4637.5,RIMANRGSP
19,2016-01-01,4664.2,RIMANRGSP
20,2017-01-01,4548.9,RIMANRGSP
21,2018-01-01,4617.5,RIMANRGSP
22,2019-01-01,4477.1,RIMANRGSP
23,2020-01-01,4363.6,RIMANRGSP
24,2021-01-01,4729.0,RIMANRGSP
25,2022-01-01,4714.2,RIMANRGSP
0,1997-01-01,26513.7,CTMANRGSP
1,1998-01-01,26356.6,CTMANRGSP
2,1999-01-01,27337.3,CTMANRGSP
3,2000-01-01,28292.2,CTMANRGSP
4,2001-01-01,28462.4,CTMANRGSP
5,2002-01-01,31188.3,CTMANRGSP
6,2003-01-01,31743.1,CTMANRGSP
7,2004-01-01,37527.9,CTMANRGSP
8,2005-01-01,37711.8,CTMANRGSP
9,2006-01-01,44369.0,CTMANRGSP
10,2007-01-01,45378.3,CTMANRGSP
11,2008-01-01,43618.5,CTMANRGSP
12,2009-01-01,29802.5,CTMANRGSP
13,2010-01-01,30666.9,CTMANRGSP
14,2011-01-01,29398.7,CTMANRGSP
15,2012-01-01,29076.7,CTMANRGSP
16,2013-01-01,29762.0,CTMANRGSP
17,2014-01-01,28383.3,CTMANRGSP
18,2015-01-01,28053.0,CTMANRGSP
19,2016-01-01,25710.3,CTMANRGSP
20,2017-01-01,26954.2,CTMANRGSP
21,2018-01-01,29940.9,CTMANRGSP
22,2019-01-01,31353.0,CTMANRGSP
23,2020-01-01,28404.4,CTMANRGSP
24,2021-01-01,30995.8,CTMANRGSP
25,2022-01-01,31448.0,CTMANRGSP
0,1997-01-01,21722.6,MAMANRGSP
1,1998-01-01,23731.5,MAMANRGSP
2,1999-01-01,25488.3,MAMANRGSP
3,2000-01-01,30705.7,MAMANRGSP
4,2001-01-01,29529.2,MAMANRGSP
5,2002-01-01,30412.7,MAMANRGSP
6,2003-01-01,34865.4,MAMANRGSP
7,2004-01-01,34614.9,MAMANRGSP
8,2005-01-01,35688.8,MAMANRGSP
9,2006-01-01,39366.3,MAMANRGSP
10,2007-01-01,44741.5,MAMANRGSP
11,2008-01-01,43181.5,MAMANRGSP
12,2009-01-01,40846.3,MAMANRGSP
13,2010-01-01,45868.5,MAMANRGSP
14,2011-01-01,46217.0,MAMANRGSP
15,2012-01-01,46677.4,MAMANRGSP
16,2013-01-01,46205.3,MAMANRGSP
17,2014-01-01,48238.0,MAMANRGSP
18,2015-01-01,49447.4,MAMANRGSP
19,2016-01-01,48611.5,MAMANRGSP
20,2017-01-01,48343.1,MAMANRGSP
21,2018-01-01,51768.9,MAMANRGSP
22,2019-01-01,50603.7,MAMANRGSP
23,2020-01-01,49201.6,MAMANRGSP
24,2021-01-01,51577.2,MAMANRGSP
25,2022-01-01,50322.6,MAMANRGSP
0,1997-01-01,1389.0,HIMANRGSP
1,1998-01-01,1303.0,HIMANRGSP
2,1999-01-01,1383.8,HIMANRGSP
3,2000-01-01,1381.6,HIMANRGSP
4,2001-01-01,1507.3,HIMANRGSP
5,2002-01-01,1632.5,HIMANRGSP
6,2003-01-01,1720.8,HIMANRGSP
7,2004-01-01,1631.9,HIMANRGSP
8,2005-01-01,1562.4,HIMANRGSP
9,2006-01-01,1551.2,HIMANRGSP
10,2007-01-01,1543.6,HIMANRGSP
11,2008-01-01,1773.9,HIMANRGSP
12,2009-01-01,1757.4,HIMANRGSP
13,2010-01-01,1540.4,HIMANRGSP
14,2011-01-01,1450.3,HIMANRGSP
15,2012-01-01,1432.6,HIMANRGSP
16,2013-01-01,1595.3,HIMANRGSP
17,2014-01-01,1727.4,HIMANRGSP
18,2015-01-01,1729.7,HIMANRGSP
19,2016-01-01,1824.1,HIMANRGSP
20,2017-01-01,1783.5,HIMANRGSP
21,2018-01-01,1782.5,HIMANRGSP
22,2019-01-01,1565.4,HIMANRGSP
23,2020-01-01,1433.8,HIMANRGSP
24,2021-01-01,1551.1,HIMANRGSP
0,1997-01-01,71011.8,MIMANRGSP
1,1998-01-01,72980.6,MIMANRGSP
2,1999-01-01,81902.1,MIMANRGSP
3,2000-01-01,82396.3,MIMANRGSP
4,2001-01-01,74908.4,MIMANRGSP
5,2002-01-01,80200.1,MIMANRGSP
6,2003-01-01,83192.0,MIMANRGSP
7,2004-01-01,80908.4,MIMANRGSP
8,2005-01-01,82675.7,MIMANRGSP
9,2006-01-01,82568.4,MIMANRGSP
10,2007-01-01,86392.1,MIMANRGSP
11,2008-01-01,74357.0,MIMANRGSP
12,2009-01-01,53740.6,MIMANRGSP
13,2010-01-01,68782.6,MIMANRGSP
14,2011-01-01,75706.3,MIMANRGSP
15,2012-01-01,78323.9,MIMANRGSP
16,2013-01-01,83285.6,MIMANRGSP
17,2014-01-01,83025.6,MIMANRGSP
18,2015-01-01,82660.1,MIMANRGSP
19,2016-01-01,84162.7,MIMANRGSP
20,2017-01-01,85831.2,MIMANRGSP
21,2018-01-01,88145.7,MIMANRGSP
22,2019-01-01,86510.4,MIMANRGSP
23,2020-01-01,81727.5,MIMANRGSP
24,2021-01-01,95452.6,MIMANRGSP
25,2022-01-01,97767.8,MIMANRGSP
0,1997-01-01,16568.3,ARMANRGSP
1,1998-01-01,16214.8,ARMANRGSP
2,1999-01-01,17271.4,ARMANRGSP
3,2000-01-01,17095.2,ARMANRGSP
4,2001-01-01,16071.1,ARMANRGSP
5,2002-01-01,16980.8,ARMANRGSP
6,2003-01-01,17653.2,ARMANRGSP
7,2004-01-01,19088.6,ARMANRGSP
